vendor_id,vendor_name,product_id,product_name
0001,Fry's Electronics,7778,Counterfeit flash drive [Kingston]
0002,Ingram,0002,passport00
0002,Ingram,7007,HPRT XT300
0011,Unknown,7788,counterfeit flash drive
001f,Walmart,0b21,AB13X Headset Adapter
0040,Anyware Corporation,073d,Mini Multimedia 2.4GHz Wireless Keyboard with Touch Pad
0053,Planex,5301,GW-US54ZGL 802.11bg
0078,Microntek,0006,Joystick
0079,DragonRise Inc.,0006,PC TWIN SHOCK Gamepad
0079,DragonRise Inc.,0011,Gamepad
0079,DragonRise Inc.,1800,Mayflash Wii U Pro Game Controller Adapter [DirectInput]
0079,DragonRise Inc.,181b,Venom Arcade Joystick
0079,DragonRise Inc.,1843,Mayflash GameCube Controller Adapter
0079,DragonRise Inc.,1844,Mayflash GameCube Controller
0080,Unknown,a001,JMS578 based SATA bridge
0085,"Boeye Technology Co., Ltd.",0600,eBook Reader
0105,Trust International B.V.,145f,NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]
0127,IBP,0002,HDM Interface
0127,IBP,0127,ibp
0145,Unknown,0112,Card Reader
017c,MLK,145f,Trust Deskset
0200,TP-Link,0201,MA180 UMTS Modem
0204,"Chipsbank Microelectronics Co., Ltd",6025,CBM2080 / CBM2090 Flash drive controller
0204,"Chipsbank Microelectronics Co., Ltd",6026,CBM1180 Flash drive controller
0218,Hangzhou Worlde,0301,MIDI Port
02ad,"HUMAX Co., Ltd.",138c,PVR Mass Storage
0324,OCZ Technology Inc,bc06,OCZ ATV USB 2.0 Flash Drive
0324,OCZ Technology Inc,bc08,OCZ Rally2/ATV USB 2.0 Flash Drive
0325,OCZ Technology Inc,ac02,ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive
0386,LTS,0001,PSX for USB Converter
03c3,ZWO,120e,ASI120MC-S Planetary Camera
03c3,ZWO,1f10,EFF
03c3,ZWO,294f,ASI294MC Pro
03d9,"Shenzhen Sinote Tech-Electron Co., Ltd",0499,SE340D PC Remote Control
03da,Bernd Walter Computer Technology,0002,HD44780 LCD interface
03e7,Intel,2150,Myriad VPU [Movidius Neural Compute Stick]
03e7,Intel,2485,Movidius MyriadX
03e7,Intel,f63b,Myriad VPU [Movidius Neural Compute Stick]
03e8,"EndPoints, Inc.",0004,SE401 Webcam
03e8,"EndPoints, Inc.",0008,101 Ethernet [klsi]
03e8,"EndPoints, Inc.",0015,ATAPI Enclosure
03e8,"EndPoints, Inc.",2123,SiPix StyleCam Deluxe
03e8,"EndPoints, Inc.",8004,Aox 99001
03eb,Atmel Corp.,0902,4-Port Hub
03eb,Atmel Corp.,2002,Mass Storage Device
03eb,Atmel Corp.,2015,at90usbkey sample firmware (HID keyboard)
03eb,Atmel Corp.,2018,at90usbkey sample firmware (CDC ACM)
03eb,Atmel Corp.,2019,stk525 sample firmware (microphone)
03eb,Atmel Corp.,201c,at90usbkey sample firmware (HID mouse)
03eb,Atmel Corp.,201d,at90usbkey sample firmware (HID generic)
03eb,Atmel Corp.,2022,at90usbkey sample firmware (composite device)
03eb,Atmel Corp.,2040,LUFA Test PID
03eb,Atmel Corp.,2041,LUFA Mouse Demo Application
03eb,Atmel Corp.,2042,LUFA Keyboard Demo Application
03eb,Atmel Corp.,2043,LUFA Joystick Demo Application
03eb,Atmel Corp.,2044,LUFA CDC Demo Application
03eb,Atmel Corp.,2045,LUFA Mass Storage Demo Application
03eb,Atmel Corp.,2046,LUFA Audio Output Demo Application
03eb,Atmel Corp.,2047,LUFA Audio Input Demo Application
03eb,Atmel Corp.,2048,LUFA MIDI Demo Application
03eb,Atmel Corp.,2049,Stripe Snoop Magnetic Stripe Reader
03eb,Atmel Corp.,204a,LUFA CDC Class Bootloader
03eb,Atmel Corp.,204b,LUFA USB to Serial Adapter Project
